SK_ID_CURR,PD,Score,Decision
100001,0.028016768023371698,1071.9248538686152,Approve
100005,0.13437076658010483,950.472900699149,Approve
100013,0.012867639400064945,1129.167616034676,Approve
100028,0.0375588808208704,1050.0700198427453,Approve
100038,0.17409562766551973,928.40114361931,Approve
100042,0.05334615856409073,1023.5654390668891,Approve
100057,0.020570635423064233,1094.7605640614681,Approve
100065,0.036040712520480155,1053.160043620133,Approve
100066,0.020027468726038933,1096.7308705198554,Approve
100067,0.08850076794624329,984.3203828316266,Approve
100074,0.0419719859957695,1041.7248651784869,Approve
100090,0.07589917853474618,996.3911089990299,Approve
100091,0.23769802451133729,900.1580398253035,Approve
100092,0.09537923038005829,978.374708402493,Approve
100106,0.052929479628801346,1024.1628287252133,Approve
100107,0.1590158998966217,936.2417796369698,Approve
100109,0.07454219460487366,997.7983055009088,Approve
100117,0.03698406368494034,1051.2256055151265,Approve
100128,0.09452198743820191,979.094291741997,Approve
100141,0.017142620123922824,1108.1625321884387,Approve
100150,0.016603117063641547,1110.5087926979788,Approve
100168,0.00905906455591321,1154.76106345159,Approve
100169,0.029967853054404258,1066.923650917932,Approve
100170,0.11421754807233811,963.8548095985605,Approve
100171,0.06983246207237244,1002.8724471582238,Approve
100172,0.09685840383172035,977.1465577577992,Approve
100184,0.118386672437191,960.9283726025369,Approve
100187,0.10197256058454514,973.0253313688212,Approve
100212,0.03855720572173595,1048.1028353942208,Approve
100222,0.04524313658475876,1036.064531236902,Approve
100223,0.027338279783725737,1073.7435931916189,Approve
100232,0.014802591875195503,1118.920960699486,Approve
100241,0.1588817596435547,936.3141605291792,Approve
100245,0.026160915195941926,1077.0063290887897,Approve
100253,0.02476433850824833,1081.0671493405234,Approve
100256,0.09060760885477066,982.4563457983231,Approve
100271,0.009561095479875803,1150.833817121224,Approve
100278,0.364905446767807,856.0688403255065,Approve
100280,0.008142268005758523,1162.5243388376787,Approve
100306,0.20048823952674866,915.8764869149545,Approve
100311,0.13346945643424987,951.03345342924,Approve
100312,0.022437476739287376,1088.356736209702,Approve
100330,0.08771727085113526,985.0238134336355,Approve
100331,0.03624292276799679,1052.7413217285252,Approve
100352,0.13453867584466933,950.3688240255146,Approve
100358,0.16216623187065124,934.5559345302286,Approve
100367,0.0221662275493145,1089.2541081861027,Approve
100382,0.1891562670469284,921.0886710883331,Approve
100384,0.08636419847607613,986.2520997506053,Approve
100385,0.11573358178138733,962.7800825760152,Approve
100386,0.06331132128834724,1010.4481156707606,Approve
100399,0.0192327082157135,1099.710256452426,Approve
100404,0.04478792175650596,1036.8283772376985,Approve
100416,0.023793341219425203,1084.02424517196,Approve
100422,0.061764306575059894,1012.3516613446753,Approve
100426,0.039363862574100496,1046.548723955149,Approve
100438,0.03452735394239426,1056.3675899796983,Approve
100444,0.20389265418052674,914.354063518688,Approve
100445,0.16265953779220582,934.2943508260695,Approve
100446,0.14162778109312057,946.0713596559849,Approve
100447,0.018063100054860115,1104.3220496958438,Approve
100450,0.085661880671978,986.8965303200006,Approve
100466,0.019429537281394006,1098.9612975580735,Approve
100483,0.024200580641627313,1082.7699576125337,Approve
100484,0.02315070554614067,1086.0468016084724,Approve
100494,0.06083529219031334,1013.516293624863,Approve
100510,0.23919566869735717,899.5631144343595,Approve
100512,0.007851103087887168,1165.1722782935888,Approve
100517,0.04001812040805817,1045.3104978143626,Approve
